CompanyName,CompanyType,Programme,RefDate,Sector
LOTUSS STORES (MALAYSIA) SDN BHD (FORMERLY KNOWNS AS TESCO STORES(MALAYSIA) SDN BHD,MNC,STAR,19/1/2016,
123RF TECHNOLOGY SDN BHD,Others,STAR,28/5/2015,
1MALAYSIA DEVELOPMENT BHD,,STAR,10/7/2014,
1ST AVENUE MALL SDN BHD,,STAR,26/2/2016,
20DB HEARING SDN BHD,SME,STAR,15/10/2019,Healthcare
2H OFFSHORE ENGINEERING SDN BHD,,STAR,8/5/2014,
2X MARKETING SDN BHD,Others,STAR,28/8/2018,
3D INSTRUMENTATION SDN BHD,Others,STAR,8/11/2017,
3DTECH SOLUTIONS SDN BHD,,STAR,29/9/2016,
3DREID INTERNATIONAL SDN BHD,,STAR,7/4/2014,
7-ELEVEN MALAYSIA SDN BHD,,STAR,28/11/2016,
99 SPEED MART SDN BHD,Others,STAR,20/10/2017,
????EPOXY FLOORING MALAYSIA | FRP GRATING MALAYSIA | ADVANCED POLYTECH SDN BHD,SME,STAR,16/12/2021,
A HARTRODT MALAYSIA SDN BHD,MNC,STAR,25/1/2019,"Oil, Gas & Energy (OGE)"
A JALIL & CO SDN BHD,SME,STAR,5/7/2018,
A KLASSE MANAGEMENT SDN BHD,,STAR,26/11/2015,
A N Z PLANNERS SDN BHD,,STAR,16/11/2016,
A S K HR CONSULTANCY SDN BHD,,STAR,28/9/2016,
A&I DREAM SDN BHD,Others,STAR,16/1/2017,
A.T. KEARNEY INC.,MNC,STAR,30/1/2018,
A3 PROJECTS SDN BHD,,STAR,21/10/2016,
AA CHEMIST SDN BHD,SME,STAR,12/12/2019,Healthcare
AA FARMASI PERMATA SDN BHD (WANGSA MAJU),,STAR,24/1/2017,
AA PROTECTION SDN BHD,Others,STAR,18/5/2016,E&E
AA SECURITY & AUTOMATION SOLUTION SDN BHD,Others,STAR,10/3/2020,E&E
AAH NIPPON SDN BHD,Others,STAR,5/2/2018,
ABA GAS TECHNOLOGIES SDN BHD,Others,STAR,16/11/2015,"Oil, Gas & Energy (OGE)"
ABBACO CONTROLS SDN BHD,Others,STAR,19/8/2016,E&E
ABC DENTAL SDN BHD,SME,STAR,25/11/2020,Healthcare
ABCD NTA,GLC,STAR,15/5/2017,Financial Services
ABDUL RAMAN SAAD & ASSOCIATES,,STAR,26/3/2015,
ABH TEKNOKRAT SDN BHD,Others,STAR,13/11/2017,
ABLE POTENTIAL SDN BHD,Others,STAR,16/5/2016,
ABOD TECHNOLOGY SERVICES (M) SDN BHD,SME,STAR,13/10/2020,
ABRIC BHD,MNC,STAR,11/5/2012,
ACCURATE TRADING SDN BHD,SME,STAR,9/8/2017,
ACFM ENGINEERING & CONSTRUCTION SDN BHD,MNC,STAR,22/2/2022,
ACFM ENGINEERING & CONSTRUCTION,Others,STAR,12/2/2015,
ACHIEVERS LEARNING CENTRE,SME,STAR,4/5/2019,
ACOUSTIC & LIGHTING SYSTEM SDN BHD,,STAR,30/12/2014,
ACRAFILE SDN BHD,Others,STAR,20/12/2017,
ACRE WORKS SDN BHD,,STAR,26/11/2015,
